id,name,gender,date_of_birth,race_id,pet_shop_id,media_id,activity_level,living_space,size,socialization,grooming_needs,noise_level,trainability,outdoor_activity,family_friendly
35,Toby,Male,2017-10-30,6,43,,Medium,Maison,Petit,Medium,Haut,Medium,Medium,Bas,1
36,Kitty,Female,2019-09-14,2,21,,Bas,Maison,Large,Bas,Bas,Haut,Haut,Medium,1
37,Bear,Male,2018-08-27,1,26,,Haut,Appartement,Medium,Haut,Medium,Bas,Medium,Haut,1
38,WilBas,Female,2020-07-10,3,39,,Medium,Maison,Petit,Medium,Bas,Haut,Bas,Medium,1
39,Louis,Male,2017-12-03,4,20,,Bas,Maison,Large,Bas,Bas,Haut,Haut,Haut,1
40,Maddie,Female,2019-04-26,7,32,,Haut,Appartement,Medium,Haut,Medium,Medium,Medium,Medium,1
41,Archie,Male,2018-02-14,1,6,,Medium,Maison,Petit,Medium,Bas,Bas,Haut,Haut,1
42,Stella,Female,2020-10-09,5,28,,Bas,Maison,Large,Bas,Haut,Haut,Bas,Haut,1
43,Rocky,Male,2017-09-02,6,47,,Haut,Appartement,Medium,Haut,Medium,Haut,Haut,Haut,1
44,Bailey,Male,2019-01-19,2,35,,Medium,Maison,Petit,Medium,Bas,Bas,Bas,Medium,1
45,Cleo,Female,2021-06-30,3,9,,Bas,Maison,Large,Bas,Haut,Medium,Medium,Medium,1
46,Casper,Male,2018-04-14,4,50,,Haut,Appartement,Medium,Haut,Bas,Medium,Bas,Haut,1
47,Lola,Female,2022-03-25,7,16,,Medium,Maison,Petit,Medium,Haut,Bas,Medium,Haut,1
48,Max,Male,2017-05-07,1,29,,Bas,Maison,Large,Bas,Haut,Haut,Bas,Haut,1
49,Chloe,Female,2019-11-11,5,42,,Haut,Appartement,Medium,Haut,Medium,Medium,Medium,Bas,1
50,Bentley,Male,2018-06-23,2,48,,Medium,Maison,Petit,Medium,Bas,Bas,Haut,Medium,1
