id,name,address,zipcode,city,phone,content
23,Les Petits Rongeurs,2020 Place des Gerbilles,44002,Nantes,0245234567,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
24,Aux Plumes Enchantées,2121 Rue des Canards,13005,Marseille,0497890123,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
25,La Jungle Tropicale,2222 Avenue des Singes,75007,Paris,0145678901,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
26,La Cité des Poissons,2323 Rue des Poissons Exotiques,69006,Lyon,0478789012,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
27,Le Refuge des Animaux,2424 Place des Chiens Errants,31002,Toulouse,0563123456,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
28,La Ferme en Ville,2525 Avenue des Animaux de la Ferme,33003,Bordeaux,0556123456,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
29,Au Pays des Reptiles,2626 Rue des Reptiles Exotiques,44003,Nantes,0245123456,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
30,Le Monde des Insectes,2727 Place des Insectes,13006,Marseille,0497123456,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
31,Le Royaume des Oiseaux,2828 Avenue des Oiseaux Exotiques,75008,Paris,0145123456,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
32,La Vallée des Singes,2929 Rue des Singes Exotiques,69007,Lyon,0476123456,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
33,La Savane Africaine,3030 Place des Animaux de la Savane,31003,Toulouse,0567123456,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
34,Le Paradis des Chiens,3131 Avenue des Chiens Heureux,33004,Bordeaux,0557123456,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
35,Les Chats du Monde,3232 Rue des Chats Exotiques,44004,Nantes,0246123456,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
36,La Forêt Enchantée,3333 Place des Animaux Magiques,13007,Marseille,0498123456,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
37,Le Monde des Abysses,3434 Avenue des Animaux Marins,75009,Paris,0146123456,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
38,Les Animaux Mystiques,3535 Rue des Animaux Mythiques,69008,Lyon,0475123456,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
39,Le Refuge des Papillons,3636 Place des Papillons,31004,Toulouse,0568123456,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
40,Le Jardin des Dauphins,3737 Avenue des Dauphins,33005,Bordeaux,0556123456,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
41,Aux Serpents Mystérieux,3838 Rue des Serpents Magiques,44005,Nantes,0247123456,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
42,La Vallée des Dragons,3939 Place des Dragons,13008,Marseille,0499123456,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
43,Le Royaume des Reptiles,4040 Avenue des Reptiles Magiques,75010,Paris,0147123456,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
44,Les Animaux Enchantés,4141 Rue des Animaux Féeriques,69009,Lyon,0477123456,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
45,La Forêt des Loups,4242 Place des Loups,31005,Toulouse,0569123456,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
46,La Mer des Sirènes,4343 Avenue des Sirènes,33006,Bordeaux,0557123456,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
47,Aux Animaux Fantastiques,4444 Rue des Animaux Fantastiques,44006,Nantes,0248123456,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
48,La Vallée des Licornes,4545 Place des Licornes,13009,Marseille,0495123456,La référence en matière de produits pour les félins. Offrez à votre chat le meilleur de la qualité.
49,Le Monde des Elfes,4646 Avenue des Animaux Elfiques,75011,Paris,0148123456,Un lieu idéal pour les amoureux des chiens. Découvrez une variété de races et d'accessoires pour votre fidèle compagnon.
50,Les Animaux Magiques,4747 Rue des Animaux Magiques,69010,Lyon,0476123456,Le paradis des amoureux des chats. Des chatons doux et joueurs vous attendent dans notre boutique.
